Player,Position,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,drafted,Rnd,Pick,Tm,Draft_Position,Age,year,Ht_m,Wt_kg,BMI,Position_Performance_Index
D.J. Cooper,DT,Arkansas,6.3,277.0,5.22,28.0,27.0,108.0,7.41,4.49,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.92024,125.644984,34.074863998108505,180.12
Ashley Cooper,S,Mississippi State,5.1,208.0,4.67,35.5,16.0,117.0,7.01,4.2,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.5544799999999999,94.347136,39.04437216367278,168.38
Renard Cox,CB,Maryland,5.11,192.0,4.68,38.0,13.0,111.0,7.1,4.16,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.5575280000000002,87.089664,35.900036439709915,164.94
Casey Crawford,TE,Virginia,6.6,244.0,4.83,33.0,18.0,115.0,7.15,4.37,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,2.01168,110.676448,27.348745902470885,182.35
Sedrick Curry,CB,Texas A&M,6.1,197.0,4.44,39.0,15.0,125.0,6.34,3.94,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.85928,89.357624,25.848897064929606,178.72
Chris Daniels,WR,Purdue,6.3,217.0,4.74,33.0,14.0,115.0,7.2,4.24,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.92024,98.429464,26.69402703100919,164.18
Brandon Daniels,WR,Oklahoma,5.1,211.0,4.54,35.5,14.0,121.0,6.975,4.22,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.5544799999999999,95.707912,39.60751214680267,172.23499999999999
Joe Dean Davenport,TE,Arkansas,6.7,268.0,5.06,30.0,13.0,108.0,7.33,4.67,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,2.04216,121.562656,29.148797932753414,168.06
Darren Davis,RB,Iowa State,5.8,189.0,4.81,32.0,13.0,109.0,7.04,4.47,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.76784,85.728888,27.430977127114772,170.32
Adam Davis,OG,Oklahoma State,6.4,309.0,5.66,26.0,25.0,92.0,8.51,5.0,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.9507200000000002,140.159928,36.83273703624229,162.17
JaJuan Dawson,WR,Tulane,6.1,199.0,4.55,34.0,14.0,117.0,6.96,4.16,1,3.0,79.0,CLE,WR,22.0,2000,1.85928,90.264808,26.111322415842597,166.67000000000002
Ron Dayne,RB,Wisconsin,5.11,259.0,4.65,34.0,19.0,118.0,7.07,4.26,1,1.0,11.0,NYG,RB,22.0,2000,1.5575280000000002,117.480328,48.42765332231702,186.98
Jerry DeLoach,DT,California,6.3,314.0,4.99,31.5,19.0,101.0,7.4,4.57,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.92024,142.427888,38.62638012781975,168.46
Mike Derouselle,DT,Houston,6.2,314.0,5.28,27.5,27.0,96.0,7.67,4.8,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.88976,142.427888,39.882440875992856,168.25
Na'il Diggs,OLB,Ohio State,6.4,231.0,4.66,34.5,22.0,117.0,7.12,4.29,1,4.0,98.0,GNB,LB,22.0,2000,1.9507200000000002,104.779752,27.535152930006376,189.57
Reuben Droughns,RB,Oregon,5.11,215.0,4.66,30.0,13.0,115.0,7.34,4.41,1,3.0,81.0,DET,RB,22.0,2000,1.5575280000000002,97.52228,40.20056163821683,174.41
Ron Dugans,WR,Florida State,6.1,206.0,4.58,35.5,14.0,117.0,6.975,4.22,1,3.0,66.0,CIN,WR,23.0,2000,1.85928,93.439952,27.029811144038067,168.27499999999998
Deon Dyer,FB,North Carolina,5.11,260.0,4.99,28.0,23.0,104.0,7.88,4.81,1,4.0,117.0,MIA,FB,22.0,2000,1.5575280000000002,117.93392,48.614632678773845,172.68
Chris Edwards,OLB,Georgia Tech,6.5,226.0,4.65,34.5,22.0,117.0,7.12,4.29,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.9812,102.511792,26.116633035369947,189.56
Mario Edwards,CB,Florida State,6.0,191.0,4.46,36.0,15.0,120.0,6.94,4.16,1,6.0,180.0,DAL,DB,24.0,2000,1.8288000000000002,86.636072,25.903969940655923,171.56
Shaun Ellis,DE,Tennessee,6.4,280.0,4.85,33.0,24.0,114.0,7.28,4.41,1,1.0,12.0,NYJ,DE,23.0,2000,1.9507200000000002,127.00576,33.37594294546227,187.54
John Engelberger,DE,Virginia Tech,6.4,260.0,4.73,34.0,24.0,115.0,6.95,4.28,1,2.0,35.0,SFO,DE,23.0,2000,1.9507200000000002,117.93392,30.991947020786395,188.96
Dwan Epps,ILB,Texas Southern,6.1,242.0,4.68,34.5,8.0,115.0,7.19,4.3,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.85928,109.76926399999999,31.7534674604719,173.67000000000002
Matt Farmer,WR,Air Force,6.0,190.0,4.51,33.0,14.0,108.0,6.63,3.94,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.8288000000000002,86.18248,25.768347061385473,156.07999999999998
Danny Farmer,WR,UCLA,6.3,217.0,4.58,35.5,14.0,121.0,6.975,4.22,1,4.0,103.0,PIT,WR,23.0,2000,1.92024,98.429464,26.69402703100919,172.27499999999998
Kevin Feterik,QB,BYU,5.11,207.0,4.92,31.0,19.5,106.0,7.3,4.45,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.5575280000000002,93.893544,38.704726786562254,153.67000000000002
Chafie Fields,WR,Penn State,6.1,196.0,4.43,35.5,14.0,121.0,6.975,4.22,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.85928,88.904032,25.71768438947311,172.125
Aaron Fields,DE,Troy,6.4,243.0,4.76,34.0,22.0,115.0,7.51,4.56,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.9507200000000002,110.222856,28.9655504848119,187.82999999999998
Zeron Flemister,TE,Iowa,6.4,249.0,4.72,37.0,14.0,116.0,6.92,4.16,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.9507200000000002,112.944408,29.68074926221466,182.79999999999998
Erik Flowers,DE,Arizona State,6.4,271.0,4.75,33.0,24.0,114.0,7.21,4.15,1,1.0,26.0,BUF,DE,22.0,2000,1.9507200000000002,122.923432,32.30314477935813,187.11
Derrick Foster,RB,Texas A&M-Kingsville,5.11,201.0,4.43,34.5,19.0,117.0,6.84,4.36,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.5575280000000002,91.171992,37.582850647821324,186.13000000000002
Larry Foster,WR,LSU,5.1,198.0,4.55,37.0,14.0,121.0,6.88,4.06,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.5544799999999999,89.811216,37.167238886573124,173.49
John Frank,DE,Utah,6.4,280.0,4.78,37.0,32.0,117.0,7.07,4.27,1,6.0,178.0,PHI,DE,22.0,2000,1.9507200000000002,127.00576,33.37594294546227,202.12
Bubba Franks,TE,Miami (FL),6.6,265.0,4.85,33.0,20.0,115.0,7.15,4.37,1,1.0,14.0,GNB,TE,22.0,2000,2.01168,120.20188,29.70253141047043,184.37
Todd Franz,S,Tulsa,6.1,199.0,4.55,35.5,14.0,120.0,7.01,4.2,1,5.0,145.0,DET,DB,24.0,2000,1.85928,90.264808,26.111322415842597,171.26
Arturo Freeman,S,South Carolina,6.0,188.0,4.5,35.5,14.0,124.0,6.91,4.38,1,5.0,152.0,MIA,DB,23.0,2000,1.8288000000000002,85.275296,25.497101302844573,175.29
Byron Frisch,DE,BYU,6.4,281.0,4.73,34.5,31.0,114.0,7.2,4.41,1,3.0,93.0,TEN,DE,23.0,2000,1.9507200000000002,127.459352,33.495142741696064,195.84
Mondriel Fulcher,FB,Miami (FL),6.3,253.0,4.85,27.0,18.0,116.0,7.46,4.52,1,7.0,227.0,OAK,TE,23.0,2000,1.92024,114.758776,31.122529211268777,177.83
Trent Gamble,S,Wyoming,5.9,186.0,4.56,37.0,21.0,124.0,6.6,3.9,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.7983200000000001,84.368112,26.088216018239944,176.06
Jason Gavadza,TE,Kent State,6.3,249.0,4.62,32.5,22.0,113.0,7.15,4.3,1,6.0,204.0,PIT,TE,23.0,2000,1.92024,112.944408,30.630473413462155,183.57000000000002
Trevor Gaylor,WR,Miami (OH),6.3,199.0,4.56,37.5,14.0,121.0,7.03,4.29,1,4.0,111.0,SDG,WR,22.0,2000,1.92024,90.264808,24.479775940879396,174.38
Kabeer Gbaja-Biamila,OLB,San Diego State,6.4,243.0,4.65,34.0,21.0,120.0,6.9,4.28,1,5.0,149.0,GNB,DE,22.0,2000,1.9507200000000002,110.222856,28.9655504848119,190.83
Sherrod Gideon,WR,Southern Miss,5.11,173.0,4.66,35.5,14.0,121.0,6.975,4.22,1,6.0,200.0,NOR,WR,22.0,2000,1.5575280000000002,78.471416,32.34742866703029,172.355
Ian Gold,OLB,Michigan,6.1,221.0,4.56,33.0,21.0,115.0,6.97,4.19,1,2.0,40.0,DEN,LB,22.0,2000,1.85928,100.243832,28.998001275885496,184.72
Dwayne Goodrich,CB,Tennessee,5.11,195.0,4.45,36.0,15.0,122.0,6.94,4.16,1,2.0,49.0,DAL,DB,22.0,2000,1.5575280000000002,88.45044,36.46097450908039,173.54999999999998
Lamar Grant,CB,Duke,5.11,188.0,4.62,32.0,16.0,117.0,7.3,4.3,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.5575280000000002,85.275296,35.152119013882626,165.22000000000003
Deon Grant,S,Tennessee,6.2,209.0,4.5,35.5,15.0,120.0,7.01,4.2,1,2.0,57.0,CAR,DB,21.0,2000,1.88976,94.80072799999999,26.545955869689514,171.20999999999998
Ernest Grant,DT,Ark-Pine Bluff,6.5,316.0,5.31,29.5,24.0,98.0,8.0,5.03,1,6.0,167.0,MIA,DT,24.0,2000,1.9812,143.335072,36.517062120251786,169.84
Jonathan Gray,OT,Texas Tech,6.4,338.0,5.85,23.0,20.0,94.0,7.84,4.75,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.9507200000000002,153.314096,40.289531127022315,38.44
Brian Gray,CB,BYU,6.1,214.0,4.94,33.5,19.0,116.0,7.38,4.24,0,-1.0,-1.0,Undrafted,Undrafted,22.0,2000,1.85928,97.068688,28.07951254769003,166.06
Barrett Green,OLB,West Virginia,6.0,233.0,4.56,36.0,22.0,120.0,7.12,4.29,1,2.0,50.0,DET,LB,22.0,2000,1.8288000000000002,105.686936,31.60013087001482,193.97
Mike Green,S,NW State (LA),6.0,189.0,4.53,38.5,17.0,118.0,7.01,4.2,1,7.0,213.0,TEN,RB,24.0,2000,1.8288000000000002,85.728888,25.632724182115023,172.23999999999998
Mike Green,FB,Houston,6.0,253.0,4.78,28.5,25.0,108.0,7.08,4.34,1,7.0,213.0,TEN,RB,24.0,2000,1.8288000000000002,114.758776,34.312588455423814,177.70000000000002
Damian Gregory,DT,Illinois State,6.2,307.0,4.87,30.0,27.0,105.0,7.37,4.6,0,-1.0,-1.0,Undrafted,Undrafted,23.0,2000,1.88976,139.252744,38.99334187557264,178.84
